GRB	<a href="/archive/grb_table/swgrbtable_help.html#bat_t90">BAT T90 [sec]</a>	<a href="/archive/grb_table/swgrbtable_help.html#redshift">Redshift</a>
081029	270	3.8479 (VLT: absorption, host)|3.847 (Gemini-South: absorption)
081028A	260	3.038 (Magellan/Clay: absorption)
081008	185.5	1.9685 (VLT: absorption)|1.967 (Gemini-South: absorption)
081007	10.0	0.5295 (Gemini-South: absorption)
080928	280	1.692 (VLT: absorption)|1.69 (Gemini-South: absorption)
080916A	60	0.689 (VLT: absorption and emission)
080913	8	6.44 (ESO/MPI: photometric)|6.7 (VLT)
080906	147	2.0 (UVOT: photometric)
080905B	128	2.374 (VLT: absorption)
080905A	1.0	0.1218 (emission from host)
080810	106	3.35 (Keck: absorption)|3.35 (RTT150: absorption)|3.35 (NOT: absorption)
080805	78	1.505 (VLT: absorption)
080804	34	2.2045 (VLT: absorption)|2.20 (Gemini-South: absorption)
080721	16.2	2.602 (TNG: absorption)|2.591 (NOT: absorption)
080710	120	0.845 (Gemini-South: absorption)
080707	27.1	1.23 (VLT: absorption)
080607	79	3.036 (Keck I)
080605	20	1.6398 (VLT: absorption)
080604	82	1.416 (Gemini-North: absorption)
080603B	60	2.69 (NOT)|2.69 (Hobby-Eberly: absorption)
080520	2.8	1.545 (VLT: emission)
080516	5.8	3.2 (MPI/ESO: photometric)
080430	16.2	~0.75 (Calar Alto: absorption, probable)|0.767 (Hobby-Eberly: absorption)
080413B	8.0	1.10 (VLT: absorption)|1.10 (Gemini-South: absorption)
080413A	46	2.433 (VLT: absorption)|2.43 (Gemini-South: absorption)
080411	56	1.03 (VLT: absorption)
080330	61	1.51 (NOT: absorption)|1.51 (Hobby-Eberly: absorption)
080319C	34	1.95 (Gemini-North: absorption)
080319B	>50	0.937 (VLT Kueyen: absorption)|0.937 (Hobby-Eberly: absorption)
080310	365	2.4266 (Lick: absorption)|2.42 (Magellan: absorption)|2.43 (VLT-Kueyen: absorption)|2.4266 (Keck: absorption)
080210	45	2.641 (VLT: absorption)|2.64 (Hobby-Eberly: absorption)
080207	340	2.0858 (TOUGH: emission)
071227	1.8	0.383 (VLT: emission, host redshift)|0.384 (Magellan: emission, host redshift)
071122	68.7	1.14 (Gemini North: absorption)
071117	6.6	1.331 (VLT: emission)
071112C	15	0.8230 (VLT: absorption)|0.823 (Gemini North: absorption)
071031	180	2.692 (VLT)
071028B	55	0.94 (Paranal: host, photometric)
071021	225	2.4520 (TOUGH: emission)
071020	4.2	>2.145 (VLT: absorption)|2.142 (BTA: absorption)
071010B	>35.7	0.947 (Gemini North: absorption)|0.947 (Keck I: absorption)|0.947 (Keck II: absorption)
071010A	6	0.98 (Keck I: absorption)
071003	150	1.100 (Keck I: absorption)|>0.937 (VLT: absorption)
